milimeters,N*(m^2)
0,60.6792234152274
50,81.2951881682106
100,100.974140993111
150,158.123955319902
200,204.135020772727
250,206.75913405909
300,220.030119228153
350,252.148965308491
400,273.411611532703
450,253.220576859635
500,260.381621235897
550,268.294364082141
600,274.016469645209
650,277.270755445484
700,271.075400961187
750,256.474757890144
800,249.910752703581
850,212.664438598721
900,168.430200646785
950,138.770258474266
1000,106.320323319129
1050,81.5035402348113
1100,60.2063732327614
1150,45.0720847001602
1200,33.9470655387019
