pitch,roll,forceLeft,forceRight
13.2440185546875,0.010986328125,37.1,33.5
11.18408203125,0.06591796875,37.1,33.7
9.4757080078125,0.0714111328125,37.1,33.7
8.3001708984375,0.0823974609375,37.3,33.7
7.294921875,0.1043701171875,37.3,33.9
6.52587890625,0.10986328125,37.3,33.9
6.0205078125,0.076904296875,37.3,33.9
5.5645751953125,0.0714111328125,37.3,33.9
5.03173828125,0.06591796875,37.5,34.2
4.4659423828125,0.087890625,37.5,34.2
3.900146484375,0.0384521484375,37.1,34.2
3.350830078125,-0.02197265625,37.3,34.2
2.724609375,-0.0384521484375,37.3,34.2
2.13134765625,-0.0933837890625,37.3,34.2
1.4501953125,-0.1318359375,37.3,34.2
0.76904296875,-0.252685546875,37.5,34.2
0.087890625,-0.3021240234375,37.3,34.2
-0.6097412109375,-0.3570556640625,37.3,33.9
-1.197509765625,-0.384521484375,37.3,33.9
-1.812744140625,-0.439453125,37.1,33.7
-2.4554443359375,-0.3955078125,37.1,33.7
-3.14208984375,-0.4339599609375,37.1,33.7
-3.9495849609375,-0.46142578125,37.1,33.7
-5.262451171875,-0.4010009765625,37.1,33.7
-6.5972900390625,-0.318603515625,37.1,33.9
-8.492431640625,-0.252685546875,37.1,33.7
-10.6622314453125,-0.208740234375,37.1,33.7
-13.3428955078125,-0.1263427734375,37.3,33.7
